		epoch			train_loss		test_loss		train_acc		test_acc		val_acc		best_acc
		1/50			6.6027			6.8238			0.0039			0.0027			0.0000		0.0027
		2/50			6.3977			6.7545			0.0081			0.0040			0.0000		0.0040
		3/50			6.1895			6.6107			0.0099			0.0053			0.0000		0.0053
		4/50			5.8459			6.1123			0.0186			0.0120			0.0000		0.0120
		5/50			5.2669			5.4938			0.0404			0.0226			0.0000		0.0226
		6/50			4.7169			4.9936			0.0740			0.0453			0.0000		0.0453
		7/50			4.1799			4.4535			0.1261			0.0866			0.0000		0.0866
		8/50			3.6860			4.0303			0.1832			0.1225			0.0000		0.1225
		9/50			3.2440			3.6588			0.2556			0.1744			0.0000		0.1744
		10/50			2.8341			3.2032			0.3201			0.2463			0.0000		0.2463
		11/50			2.4909			3.0755			0.3867			0.2770			0.0000		0.2770
		12/50			2.1975			2.5113			0.4460			0.3688			0.0000		0.3688
		13/50			1.9241			2.0965			0.5148			0.4621			0.0000		0.4621
		14/50			1.7032			1.9869			0.5598			0.4541			0.0000		0.4621
		15/50			1.5264			1.7128			0.6021			0.5419			0.0000		0.5419
		16/50			1.3881			1.7660			0.6370			0.5206			0.0000		0.5419
		17/50			1.2246			1.7795			0.6751			0.4913			0.0000		0.5419
		18/50			1.1274			1.5123			0.7008			0.5912			0.0000		0.5912
		19/50			1.0293			1.5527			0.7273			0.5779			0.0000		0.5912
		20/50			0.7159			0.7795			0.8302			0.7989			0.0000		0.7989
		21/50			0.6297			0.7156			0.8612			0.8149			0.0000		0.8149
		22/50			0.6025			0.6853			0.8721			0.8389			0.0000		0.8389
		23/50			0.5708			0.6781			0.8791			0.8482			0.0000		0.8482
		24/50			0.5649			0.6545			0.8786			0.8509			0.0000		0.8509
		25/50			0.5613			0.6274			0.8766			0.8615			0.0000		0.8615
		26/50			0.5288			0.5910			0.8915			0.8575			0.0000		0.8615
		27/50			0.5140			0.5775			0.8953			0.8735			0.0000		0.8735
		28/50			0.5178			0.5578			0.8949			0.8762			0.0000		0.8762
		29/50			0.4972			0.5508			0.8983			0.8828			0.0000		0.8828
		30/50			0.5077			0.5651			0.8973			0.8748			0.0000		0.8828
		31/50			0.4845			0.5200			0.9045			0.8868			0.0000		0.8868
		32/50			0.4854			0.5155			0.9018			0.8921			0.0000		0.8921
		33/50			0.4710			0.5029			0.9031			0.8961			0.0000		0.8961
		34/50			0.4597			0.4826			0.9107			0.9001			0.0000		0.9001
		35/50			0.4487			0.4914			0.9106			0.8935			0.0000		0.9001
		36/50			0.4465			0.4915			0.9125			0.8935			0.0000		0.9001
		37/50			0.4304			0.4728			0.9178			0.8988			0.0000		0.9001
		38/50			0.4317			0.4499			0.9150			0.9028			0.0000		0.9028
		39/50			0.4246			0.4376			0.9201			0.9108			0.0000		0.9108
		40/50			0.3920			0.4310			0.9299			0.9121			0.0000		0.9121
		41/50			0.3964			0.4308			0.9306			0.9108			0.0000		0.9121
		42/50			0.3910			0.4299			0.9292			0.9241			0.0000		0.9241
		43/50			0.3944			0.4439			0.9291			0.9134			0.0000		0.9241
		44/50			0.3907			0.4252			0.9286			0.9214			0.0000		0.9241
		45/50			0.3905			0.4161			0.9325			0.9254			0.0000		0.9254
		46/50			0.3921			0.4196			0.9300			0.9161			0.0000		0.9254
		47/50			0.3883			0.4058			0.9289			0.9281			0.0000		0.9281
		48/50			0.3932			0.4050			0.9288			0.9201			0.0000		0.9281
		49/50			0.3907			0.4147			0.9278			0.9161			0.0000		0.9281
